Date,Adj. Close
2016-10-21,115.99798913
2016-10-24,117.021875326
2016-10-25,117.639470109
2016-10-26,114.993203804
2016-10-27,113.918779891
2016-10-28,113.103013587
2016-10-31,112.953788043
2016-11-01,110.894475543
2016-11-02,111.013855978
2016-11-03,109.83
2016-11-04,108.84
2016-11-07,110.41
2016-11-08,111.06
2016-11-09,110.88
2016-11-10,107.76
2016-11-11,108.43
2016-11-14,105.74
2016-11-15,107.11
2016-11-16,110.04
2016-11-17,109.95
2016-11-18,110.04
2016-11-21,111.75
2016-11-22,111.8
2016-11-23,111.225
2016-11-25,111.79
2016-11-28,111.57
2016-11-29,111.445
2016-11-30,110.6
2016-12-01,109.465
2016-12-02,109.86
2016-12-06,110.427402097
2016-12-07,112.330086372
2016-12-08,111.964947339
2016-12-09,111.325958547
2016-12-12,112.157111254
2016-12-13,112.032357191
2016-12-14,111.937832576
2016-12-15,110.778820818
2016-12-16,109.756961469
2016-12-19,110.284223449
